	TMAX_ATL	TMAX_NYC	TMAX_CH	TMAX_LA	TMAX_SD	TMAX_SF	TMIN_ATL	TMIN_NYC	TMIN_CH	TMIN_LA	TMIN_SD	TMIN_SF	SNOW_ATL	SNOW_NYC	SNOW_CH	SNOW_LA	SNOW_SD	SNOW_SF	SNWD_ATL	SNWD_NYC	SNWD_CH	SNWD_LA	SNWD_SD	SNWD_SF	PRCP_ATL	PRCP_NYC	PRCP_CH	PRCP_LA	PRCP_SD	PRCP_SF	WalMart	Apple	Boeing	FedEx	IBM
23	103.142857143	-20.2	-50.0	194.5	193.2	181.5	-54.7142857143	-63.6	-152.428571429	77.0	40.0	74.3333333333	0.0	17.4	12.7142857143	0.0	0.0	0.0	0.0	106.6	76.1428571429	0.0	0.0	0.0	0.0	6.6	1.57142857143	0.0	0.0	39.6666666667	-0.0317383757872	-0.00402040186978	0.0146841297877	0.0636034909513	0.0169655341583
24	135.714285714	42.4	49.8571428571	205.5	200.0	174.833333333	-54.0	-61.2	-62.8571428571	69.3333333333	46.6	95.1666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.2	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.6666666667	0.0317383757872	0.0	-0.00878396143719	0.0083691012115	-0.00374532273016
25	119.857142857	44.6	47.5714285714	208.333333333	211.0	152.833333333	8.71428571429	-31.2	-82.5714285714	78.8333333333	40.2	98.1666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.6	47.1428571429	0.0	0.0	0.0	32.2857142857	0.0	0.0	0.0	0.0	39.8333333333	-0.015763626926	-0.00391021870009	-0.03288889277	0.0	-0.0246926125904
26	75.4285714286	28.0	18.1428571429	217.666666667	224.4	161.166666667	30.8571428571	-84.4	-61.8571428571	78.6666666667	42.0	112.166666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.6	43.4285714286	0.0	0.0	0.0	92.2857142857	0.0	0.0	0.0	0.0	7.66666666667	0.0	0.0	0.00606113480931	0.0	0.00192123017789
27	70.7142857143	17.6	25.2857142857	209.166666667	222.2	174.0	22.1428571429	-106.8	-56.2857142857	92.6666666667	40.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.6	39.8571428571	0.0	0.0	0.0	3.71428571429	0.0	0.0	0.0	0.0	152.833333333	0.0	0.0	-0.0182930440164	-0.0168071183164	0.00191754612927
28	87.2857142857	38.8	53.8571428571	176.833333333	206.6	136.833333333	5.57142857143	-45.6	-55.5714285714	101.833333333	70.0	92.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.6	29.0	0.0	0.0	0.0	0.0	0.0	0.0	64.5	0.0	275.166666667	0.0197913519096	-0.00380597898634	-0.00617330355576	0.00563381771826	-0.00383877630717
29	174.571428571	62.2	80.0	193.666666667	178.0	135.166666667	-11.1428571429	-17.8	1.57142857143	29.5	-10.0	47.3333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	-0.0118824836905	-0.00386478934449	0.0	0.0	0.0
30	155.571428571	82.2	27.1428571429	162.166666667	176.6	130.5	56.2857142857	6.8	-27.1428571429	72.1666666667	13.6	76.8333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.4	0.0	0.0	0.0	0.0	19.8571428571	0.0	0.0	0.0	0.0	489.166666667	-0.00802825580076	-0.00777461669272	0.0123088289943	0.0194189373981	0.00766287274557
31	136.428571429	58.8	1.57142857143	148.166666667	157.8	137.166666667	-2.57142857143	-26.8	-94.2857142857	81.3333333333	42.4	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.4	0.0	0.0	0.0	0.0	12.8571428571	0.0	0.0	269.666666667	51.4	218.0	-0.00399708867644	-0.00402040186978	-0.0279093955832	-0.00550965581097	-0.0134488098126
32	153.285714286	30.0	-26.8571428571	135.166666667	140.0	134.333333333	-38.8571428571	-64.4	-136.571428571	68.6666666667	44.4	60.1666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.666666667	77.8	195.5	0.0	-0.00417138826229	0.00627016206997	-0.00557104504946	0.00386100865746
33	152.285714286	-8.8	-24.8571428571	139.666666667	121.0	126.833333333	-8.0	-104.6	-128.571428571	31.5	48.8	45.3333333333	0.0	0.0	0.0	0.0	2.6	0.0	0.0	30.4	0.0	0.0	0.0	0.0	10.8571428571	0.0	0.0	3.0	98.8	47.8333333333	-0.0246530020831	-0.00882203788084	-0.00627016206997	-0.0429241931761	-0.00773698250215
34	66.0	111.2	-16.5714285714	210.333333333	171.4	155.5	-21.4285714286	-23.4	-179.428571429	39.6666666667	13.4	35.3333333333	3.57142857143	2.0	5.85714285714	0.0	0.0	0.0	0.0	10.2	29.0	0.0	0.0	0.0	201.0	211.2	2.28571428571	0.0	0.0	0.0	-0.0601394852991	-0.00467929069488	-0.0224010212412	-0.011834457647	-0.0156558970726
35	13.4285714286	23.2	-124.428571429	208.5	172.4	174.833333333	-102.285714286	-103.4	-227.0	42.8333333333	5.6	32.5	2.14285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	4.28571428571	36.6	0.0	0.0	0.0	0.0	0.0	0.0	-0.00325050004242	0.011834457647	0.013712261864
36	36.4285714286	-63.6	-123.714285714	197.166666667	185.4	170.333333333	-94.4285714286	-127.6	-210.142857143	33.3333333333	-1.0	40.6666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0593322300806	0.0	-0.00653654221883	0.0058651194524	0.0038835000264
37	54.8571428571	-71.0	-103.142857143	200.833333333	181.0	161.166666667	-99.8571428571	-152.0	-206.285714286	36.0	-4.6	51.8333333333	0.0	1.0	5.57142857143	0.0	0.0	0.0	0.0	5.0	29.0	0.0	0.0	0.0	0.0	0.0	3.28571428571	0.0	0.0	0.0	0.0199491552122	0.0	0.0226914810633	0.0229895182247	-0.00778214044206
38	70.5714285714	-5.4	-32.4285714286	188.833333333	181.0	157.333333333	-35.7142857143	-127.6	-145.142857143	56.5	16.8	50.1666666667	0.0	4.6	20.8571428571	0.0	0.0	0.0	0.0	5.0	47.0	0.0	0.0	0.0	6.14285714286	1.6	8.42857142857	0.0	0.0	0.0	0.0349587226016	0.0	-0.0462129315597	-0.00569802111464	0.00389864041566
39	103.142857143	18.8	-60.4285714286	150.0	152.4	144.333333333	-73.0	-80.2	-162.857142857	84.0	63.2	77.8333333333	0.0	7.6	1.14285714286	0.0	0.0	0.0	0.0	10.2	58.1428571429	0.0	0.0	0.0	1.14285714286	17.4	0.0	184.333333333	399.8	87.6666666667	0.0	-0.00912370292574	-0.0308779430568	-0.0260515686959	-0.0117418178767
40	105.571428571	33.2	-38.7142857143	188.0	149.0	177.833333333	8.71428571429	-75.4	-130.714285714	96.1666666667	73.0	72.3333333333	0.0	0.0	82.1428571429	0.0	0.0	0.0	0.0	5.0	87.0	0.0	0.0	0.0	330.142857143	0.0	59.4285714286	0.0	50.6	2.16666666667	-0.0271625065707	0.0	0.0137943986164	0.00584974767541	-0.00790517950711
41	125.428571429	138.8	-65.8571428571	176.0	189.0	172.333333333	-26.2857142857	4.4	-207.857142857	82.5	36.8	93.5	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	141.571428571	0.0	0.0	0.0	501.714285714	166.6	43.0	0.0	0.0	30.5	0.023349534046	-0.00472367223941	-0.0137943986164	-0.0117303293277	-0.0059701669865
42	45.1428571429	90.0	-146.142857143	238.166666667	195.6	189.833333333	-131.0	-92.4	-243.428571429	82.5	55.4	82.3333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	3.0	28.6	0.0	0.0	0.0	0.0	0.0114733882194	-0.00476864718444	-0.0139854896272	0.002944613475	-0.0140705838969
43	48.4285714286	-19.8	-44.5714285714	251.833333333	207.8	190.666666667	-79.4285714286	-113.4	-196.714285714	80.5	75.6	103.666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.3333333333	-0.00774928017022	-0.0097467936543	-0.0177620232036	0.0058651194524	0.0
44	175.285714286	141.0	125.428571429	278.666666667	261.2	199.0	104.0	44.4	25.4285714286	120.333333333	69.8	97.3333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57142857143	0.0	0.0	0.0	59.5714285714	0.0	0.428571428571	0.0	0.0	1.0	0.00774928017022	0.0	0.0142343440602	-0.00588058165231	0.00404040953701
45	162.571428571	172.2	135.571428571	298.0	261.2	221.166666667	129.428571429	58.0	35.0	96.3333333333	66.8	85.1666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.285714286	0.0	0.0	0.0	0.0	0.0	-0.00774928017022	0.0	0.00352767914336	-0.00593473551981	0.0
46	165.857142857	145.6	146.0	284.333333333	276.6	211.833333333	116.857142857	62.0	4.0	107.166666667	72.2	95.3333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.571428571	47.6	0.428571428571	0.0	0.0	0.5	-0.00783054761952	-0.00486148285151	-0.0177620232036	-0.0149918661576	-0.0121705356203
47	184.0	133.2	132.571428571	255.666666667	265.6	192.666666667	62.7142857143	81.0	-14.4285714286	109.166666667	73.2	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	420.8	0.0	0.0	0.0	0.0	-0.0118824836905	-0.00513646673242	-0.00724701879986	0.0	-0.012320484388
48	167.285714286	85.4	61.1428571429	260.166666667	228.8	205.666666667	37.8571428571	23.2	6.57142857143	70.3333333333	21.0	64.8333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.4285714286	68.2	100.428571429	0.0	0.0	0.0	0.0	0.0	-0.00364328516058	0.0120121454817	0.0244910200083
49	163.571428571	122.2	50.7142857143	209.166666667	232.2	160.166666667	-3.0	51.0	-15.7142857143	82.3333333333	28.0	66.5	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.6	7.0	1.33333333333	0.0	51.0	-0.0120253444772	-0.010461229709	0.0	0.00589972212719	0.0020140993717
50	197.714285714	88.0	75.4285714286	161.333333333	168.8	139.833333333	-20.5714285714	24.6	-47.7142857143	63.0	74.6	44.3333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2	0.0	0.0	9.6	72.3333333333	-0.0203974115558	0.0	0.0108903039604	0.0	0.0336332393585
51	232.714285714	69.0	51.7142857143	171.166666667	142.0	145.333333333	11.1428571429	23.4	-32.4285714286	39.1666666667	51.0	45.3333333333	0.0	0.0	0.0	0.0	12.8	0.0	0.0	0.0	0.0	0.0	10.2	0.0	0.0	52.0	0.0	108.333333333	171.0	34.0	0.00412132224123	0.0	0.0284720084913	0.0426815779112	0.00775197680432
52	239.857142857	91.2	25.5714285714	197.5	162.2	145.5	23.8571428571	10.2	-30.1428571429	29.6666666667	13.2	54.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	52.8571428571	0.0	0.0	32.6666666667	0.0199491552122	0.0	-0.0176990267238	-0.0140263221508	-0.0038835000264
53	178.571428571	68.0	15.1428571429	163.833333333	125.8	159.166666667	44.2857142857	-13.4	-51.7142857143	67.5	50.4	79.6666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.42857142857	0.0	0.0	253.833333333	234.2	3.16666666667	0.00783054761952	0.0	0.0	0.00563381771826	-0.00977524890464
54	165.0	31.2	8.0	193.5	149.0	156.5	3.42857142857	-46.6	-103.142857143	50.1666666667	24.4	68.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.2	0.0	0.0115622526949	-0.00474601507035	0.0	-0.00563381771826	-0.0178399181283
55	162.571428571	23.2	42.7142857143	164.166666667	145.8	127.833333333	43.7142857143	-72.2	-52.4285714286	92.6666666667	59.0	67.6666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.7142857143	0.0	6.28571428571	4.33333333333	4.6	128.666666667	-0.00768016798671	-0.00479157310509	-0.0107729817674	0.00843801710489	-0.0100503358535
56	154.857142857	15.6	45.1428571429	128.0	119.8	140.666666667	56.4285714286	-31.2	-54.8571428571	69.5	53.6	51.0	0.0	112.4	0.0	0.0	2.6	0.0	0.0	71.0	0.0	0.0	0.0	0.0	161.285714286	93.6	4.28571428571	242.666666667	61.0	19.6666666667	-0.015763626926	-0.00483628530869	0.00360386618438	0.0083691012115	0.00201816415624
57	149.142857143	31.2	19.8571428571	149.166666667	106.8	177.0	1.71428571429	-33.4	-57.8571428571	69.5	42.0	55.5	0.0	25.0	2.14285714286	0.0	3.6	0.0	0.0	91.4	0.0	0.0	0.0	0.0	1.85714285714	20.8	1.14285714286	29.6666666667	132.6	0.0	0.0235333331822	-0.00969944598213	0.0	0.0192586449419	-0.00201816415624
58	148.428571429	74.4	69.8571428571	247.166666667	192.2	213.0	-29.5714285714	13.2	-48.4285714286	64.8333333333	42.2	72.1666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00388208470824	-0.00527194213864	0.0353384377881	0.0106667764516	0.0200407508834
59	157.285714286	81.0	68.8571428571	251.0	223.2	212.833333333	-28.7142857143	-3.2	-21.4285714286	90.8333333333	44.6	71.3333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00553486181783	-0.0210532513963	0.0103627870355	-0.00796816964918
